FolderServerRelativeURL,Users,Permission
/sites/UX-Portal/Business/Implementation/Access/Directed Learning,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Access/Employer Engagement,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Access/Enrichment,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Access/IV,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Access/Learning Support,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Access/Sample Lesson Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Access/Sample Marked Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Access/Schemes Of Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Access/Student Induction,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/Access/Unit - Assessment Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/HE CIPD/Assignment Briefs,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/HE CIPD/Awarding Body Documentation,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/HE CIPD/Communication With Parents,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/HE CIPD/Curriculum Specific Resources,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/HE CIPD/Directed Learning,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/HE CIPD/Employer Engagement,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/HE CIPD/Enrichment,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/HE CIPD/IV,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/HE CIPD/Learning Support,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/HE CIPD/Sample Lesson Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Business/Implementation/HE CIPD/Sample Marked Work,HCUC Security - All Staff Users,Edit
