FolderServerRelativeURL,Users,Permission
/sites/HA-Portal/Science IT  Media/Implementation/Media/Sample Lesson Plans            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Media/Sample Marked Work             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Media/Schemes Of Work                ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Media/Student Induction              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Media/Unit - Assessment Plans        ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Science/Assignment Briefs            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Science/Awarding Body Documentation  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Science/Communication With Parents   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Science/Curriculum Specific Resources,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Science/Directed Learning            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Science/Employer Engagement          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Science/Enrichment                   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Science/IV                           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Science/Learning Support             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Science/Sample Lesson Plans          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Science/Sample Marked Work           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Science/Schemes Of Work              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Science/Student Induction            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Science IT  Media/Implementation/Science/Unit - Assessment Plans      ,HCUC Security - All Staff Users,Edit
